ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2063190,HH283739,4/3/2002 19:45,040XX N LINCOLN AV,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,622,TRUE,FALSE,1912,NA,NA,NA,26,1162045,1927127,2002,ERROR,41.95570549,-87.67967958,"(41.955705485, -87.679679583)"
2187834,HH444731,6/15/2002 21:22,004XX E 75TH ST,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,1461,FALSE,FALSE,323,NA,6,69,7,1180456,1855421,2002,ERROR,41.75853465,-87.61420526,"(41.758534647, -87.61420526)"
4856312,HM458067,7/6/2006 11:34,037XX S WESTERN AVE,460,BATTERY,SIMPLE,CTA BUS,2800,FALSE,FALSE,913,9,12,59,08B,1161018,1879907,2006,ERROR,41.82615127,-87.68476716,"(41.826151267, -87.684767164)"
4948851,HM562638,8/25/2006 20:00,069XX S LOOMIS BLVD,890,THEFT,FROM BUILDING,RESIDENCE,3312,FALSE,FALSE,734,7,17,67,6,1168156,1858673,2006,ERROR,41.76773187,-87.65919032,"(41.767731872, -87.65919032)"
6687849,HR102460,1/2/2009 15:29,105XX S EGGLESTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,1562,FALSE,FALSE,2233,22,34,49,18,1175109,1835065,2009,2/1/2009 16:25,41.70279607,-87.63440728,"(41.702796067, -87.634407275)"
7550137,HS346624,6/7/2010 5:46,007XX W GARFIELD BLVD,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,4436,FALSE,FALSE,934,9,3,61,5,1172153,1868433,2010,ERROR,41.79442753,-87.64425287,"(41.794427528, -87.644252869)"
8453368,HV131074,1/23/2012 22:00,068XX N SHERIDAN RD,820,THEFT,$500 AND UNDER,STREET,44,FALSE,FALSE,2431,24,49,1,6,1167006,1945516,2012,ERROR,42.00606014,-87.66091123,"(42.006060138, -87.660911233)"
1754134,G565506,9/20/2001 22:05,007XX E 111 ST,460,BATTERY,SIMPLE,POLICE FACILITY/VEH PARKING LOT,715,FALSE,FALSE,531,NA,NA,NA,08B,1183305,1831462,2001,ERROR,41.69272252,-87.60450744,"(41.692722515, -87.604507439)"
2522777,HJ100697,12/31/2002 23:30,116XX S VINCENNES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,2478,FALSE,FALSE,2234,NA,34,75,14,1165846,1827777,2002,ERROR,41.68299784,-87.66853211,"(41.682997842, -87.668532113)"
1864439,G708189,11/25/2001 13:30,007XX N LARAMIE AV,325,ROBBERY,VEHICULAR HIJACKING,ALLEY,1350,FALSE,FALSE,1524,NA,NA,NA,3,1141513,1904551,2001,ERROR,41.89415952,-87.75571949,"(41.894159515, -87.755719492)"
6934825,HR340739,5/25/2009 21:45,061XX S RACINE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,1582,TRUE,FALSE,713,7,16,67,18,1169326,1864268,2009,ERROR,41.78306,-87.65473992,"(41.783059997, -87.654739922)"
7981176,HT213299,3/21/2011 13:59,001XX W 35TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,4539,TRUE,FALSE,924,9,11,34,18,1175731,1881812,2011,ERROR,41.83106128,-87.63073141,"(41.831061278, -87.630731407)"
4065862,HL408235,6/8/2005 22:48,002XX W 87TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,WAREHOUSE,3963,FALSE,FALSE,622,6,21,44,6,1176403,1847255,2005,ERROR,41.73621816,-87.62930397,"(41.736218161, -87.629303966)"
2034759,HH247819,3/16/2002 10:00,018XX N DRAKE AV,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,776,FALSE,FALSE,1422,NA,NA,NA,7,1152570,1911949,2002,ERROR,41.91424888,-87.71491439,"(41.914248882, -87.714914388)"
5544920,HN356358,5/21/2007 17:00,090XX S LAFLIN ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,3133,FALSE,FALSE,2222,22,21,73,26,1167966,1844587,2007,ERROR,41.72908201,-87.66029062,"(41.729082013, -87.660290623)"
4959301,HM571754,8/29/2006 22:30,015XX E 87TH ST,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,1634,TRUE,FALSE,412,4,8,48,5,1187761,1847553,2006,2/5/2008 1:04,41.73677341,-87.58768323,"(41.736773407, -87.587683232)"
7521660,HS325090,5/25/2010 0:00,030XX N PARKSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,3579,FALSE,FALSE,2514,25,31,19,14,1138129,1919810,2010,ERROR,41.93609381,-87.7677785,"(41.93609381, -87.767778496)"
4982342,HM596076,9/12/2006 0:00,014XX N DAMEN AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,35,FALSE,FALSE,1424,14,1,24,6,1162762,1909616,2006,4/12/2014 12:43,41.9076392,-87.67753613,"(41.907639198, -87.677536132)"
7403488,HS205438,3/13/2010 4:25,080XX S MAY ST,810,THEFT,OVER $500,STREET,2170,FALSE,FALSE,612,6,21,71,6,1170015,1851280,2010,ERROR,41.74740433,-87.65259069,"(41.74740433, -87.652590689)"
3140084,HK132250,1/18/2004 11:06,024XX N RACINE AVE,460,BATTERY,SIMPLE,STREET,2504,FALSE,FALSE,1933,19,32,7,08B,1167856,1916386,2004,ERROR,41.92610808,-87.65862795,"(41.926108075, -87.658627954)"
5902358,HN700127,11/10/2007 11:00,003XX S WACKER DR,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),749,FALSE,FALSE,112,1,2,32,6,1174015,1898799,2007,4/12/2014 12:43,41.87771322,-87.6365217,"(41.877713219, -87.636521697)"
4572931,HM163096,2/4/2006 14:00,045XX S WESTERN AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),42,FALSE,FALSE,914,9,12,61,6,1161174,1874190,2006,4/12/2014 12:43,41.81045991,-87.68435325,"(41.810459905, -87.684353246)"
10012442,HY202116,3/28/2015 21:12,050XX N FRANCISCO AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,1022,TRUE,FALSE,2031,20,40,4,26,1156167,1933292,2015,4/4/2015 12:43,41.9727436,-87.70112122,"(41.972743598, -87.701121216)"
6554328,HN700877,11/11/2007 4:00,076XX S RHODES AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,4899,FALSE,FALSE,624,6,6,69,04B,1181189,1854379,2007,ERROR,41.75565844,-87.61155094,"(41.755658442, -87.611550936)"
4398984,HL638310,10/5/2005 11:25,011XX N MONTICELLO AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,3766,TRUE,FALSE,1112,11,27,23,18,1151799,1907151,2005,ERROR,41.90109794,-87.71787341,"(41.901097939, -87.717873412)"
2797787,HJ448611,6/23/2003 7:00,057XX S ABERDEEN ST,890,THEFT,FROM BUILDING,STREET,1540,FALSE,FALSE,712,7,16,68,6,1169915,1867003,2003,ERROR,41.79055238,-87.65250106,"(41.79055238, -87.652501059)"
4471342,HL761655,11/29/2005 9:57,071XX S LAFAYETTE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,3232,TRUE,FALSE,731,7,6,69,20,1177037,1857432,2005,ERROR,41.76413081,-87.626675,"(41.764130805, -87.626675)"
2751617,HJ389272,5/27/2003 8:16,028XX W 24TH BLVD,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",2758,FALSE,FALSE,1033,NA,12,30,08B,1157546,1887831,2003,ERROR,41.84796687,-87.69728998,"(41.847966869, -87.697289982)"
8965579,HW113481,1/11/2013 3:00,023XX N LOWELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,3640,FALSE,FALSE,2522,25,31,20,26,1146957,1915184,2013,5/2/2013 14:37,41.92323525,-87.73545297,"(41.923235246, -87.735452966)"
5171598,HM762872,12/8/2006 13:45,044XX W GLADYS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1177,FALSE,TRUE,1131,11,24,26,08B,1146659,1898021,2006,ERROR,41.87614383,-87.7369863,"(41.876143827, -87.736986299)"
5510052,HN329067,5/8/2007 0:30,049XX W BELDEN AVE,890,THEFT,FROM BUILDING,APARTMENT,2656,FALSE,TRUE,2522,25,31,19,6,1142729,1914878,2007,ERROR,41.92247539,-87.75099595,"(41.922475392, -87.750995953)"
6808651,HR218704,3/16/2009 14:17,004XX N CENTRAL AVE,460,BATTERY,SIMPLE,SIDEWALK,2744,FALSE,FALSE,1512,15,29,25,08B,1138919,1902473,2009,ERROR,41.88850475,-87.76529711,"(41.888504748, -87.765297105)"
4991519,HM449098,7/1/2006 22:02,071XX S MERRILL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,4231,TRUE,FALSE,333,3,5,43,18,1191746,1858246,2006,ERROR,41.76602024,-87.57273738,"(41.766020241, -87.572737379)"
4052767,HL403567,6/6/2005 19:30,025XX S WASHTENAW AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,3538,FALSE,FALSE,1034,10,12,30,04B,1158738,1886739,2005,ERROR,41.84494599,-87.69294517,"(41.844945991, -87.692945166)"
8032674,HT264580,4/21/2011 13:30,098XX S ELLIS AVE,890,THEFT,FROM BUILDING,RESIDENCE,4298,FALSE,FALSE,511,5,8,50,6,1184583,1839875,2011,ERROR,41.71577907,-87.59956606,"(41.715779068, -87.599566057)"
6241707,HP331800,5/12/2008 8:00,047XX W HARRISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,3322,FALSE,FALSE,1131,11,24,25,26,1144898,1896892,2008,ERROR,41.87307911,-87.74348064,"(41.873079106, -87.743480642)"
3134450,HK125197,1/14/2004 12:00,064XX S WINCHESTER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3991,TRUE,FALSE,726,7,15,67,7,1164415,1862214,2004,ERROR,41.7775285,-87.67280311,"(41.777528496, -87.672803106)"
1329888,G024689,1/12/2001 11:00,109XX S EDBROOKE AV,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,3264,TRUE,FALSE,513,NA,NA,NA,26,1179220,1832688,2001,ERROR,41.69618071,-87.61942605,"(41.696180708, -87.619426047)"
5756722,HN564951,9/2/2007 6:30,014XX W 77TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,2012,FALSE,FALSE,612,6,17,71,14,1167956,1853723,2007,6/9/2007 1:56,41.75415271,-87.66006542,"(41.754152713, -87.660065416)"
8280908,HT515268,9/26/2011 15:06,057XX S SACRAMENTO AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,4992,FALSE,FALSE,824,8,14,63,5,1157396,1866517,2011,1/10/2011 9:51,41.78948161,-87.69841849,"(41.789481609, -87.69841849)"
7835980,HS637015,11/28/2010 22:35,103XX S ALBANY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,4609,FALSE,TRUE,2211,22,19,74,08B,1157431,1835903,2010,8/12/2010 16:32,41.70547116,-87.69911754,"(41.705471163, -87.699117536)"
3607193,HK688263,10/15/2004 11:56,081XX S WOODLAWN AVE,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,756,FALSE,FALSE,411,4,8,45,7,1185584,1851347,2004,ERROR,41.74723602,-87.5955398,"(41.74723602, -87.595539795)"
9468000,HX121120,1/18/2014 23:00,015XX S KEDZIE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,155,FALSE,FALSE,1022,10,24,29,6,1155311,1892547,2014,ERROR,41.86095324,-87.70536598,"(41.860953237, -87.705365981)"
6576153,HP648649,10/25/2008 10:30,041XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,4740,FALSE,FALSE,2534,25,37,23,14,1148653,1908301,2008,ERROR,41.90431501,-87.72939929,"(41.904315009, -87.729399291)"
3864612,HL239886,1/21/2005 0:01,100XX W OHARE ST,890,THEFT,FROM BUILDING,AIRPORT/AIRCRAFT,4122,FALSE,FALSE,1651,16,41,76,6,1100635,1934208,2005,ERROR,41.97620017,-87.90531241,"(41.976200173, -87.905312411)"
6466118,HP543667,8/30/2008 13:24,001XX N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,3056,TRUE,FALSE,122,1,42,32,6,1176390,1900949,2008,2/9/2008 8:07,41.8835597,-87.6277365,"(41.883559699, -87.627736496)"
5519425,HL290196,4/12/2005 11:30,010XX N RIDGEWAY AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,2680,TRUE,FALSE,1112,NA,27,23,26,NA,NA,2005,8/8/2007 2:59,NA,NA,
2939383,HJ625230,9/11/2003 10:00,021XX N DAMEN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,3838,FALSE,FALSE,1432,14,32,22,26,1162713,1914372,2003,ERROR,41.92069102,-87.67758255,"(41.92069102, -87.677582552)"
2424495,HH744202,10/19/2001 13:00,073XX S HALSTED ST,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,4149,FALSE,FALSE,733,NA,17,68,10,1172207,1855826,2001,ERROR,41.75983127,-87.6444252,"(41.759831266, -87.644425197)"
9212260,HW358008,7/11/2013 15:00,052XX W LE MOYNE ST,810,THEFT,OVER $500,APARTMENT,4849,FALSE,TRUE,2532,25,37,25,6,1141354,1909518,2013,12/7/2013 9:06,41.90779248,-87.75618073,"(41.907792476, -87.756180729)"
4506402,HL736000,11/15/2005 3:42,0000X E BURTON PL,2022,NARCOTICS,POSS: COCAINE,STREET,2650,TRUE,FALSE,1824,18,43,8,18,1176556,1910448,2005,ERROR,41.90962167,-87.62683971,"(41.909621673, -87.626839707)"
1344183,G043772,1/21/2001 16:50,042XX S WENTWORTH AV,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,3960,FALSE,FALSE,935,NA,NA,NA,26,1175608,1876581,2001,ERROR,41.81670972,-87.63133952,"(41.816709722, -87.631339516)"
1563501,G320369,6/3/2001 4:40,035XX S FEDERAL ST,460,BATTERY,SIMPLE,CHA APARTMENT,791,FALSE,TRUE,211,NA,NA,NA,08B,1176255,1881268,2001,ERROR,41.82955672,-87.6288252,"(41.829556721, -87.628825201)"
3340028,HK377408,5/20/2004 20:54,007XX S WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,555,TRUE,FALSE,1224,12,2,28,26,1160541,1896784,2004,ERROR,41.8724734,-87.68605047,"(41.872473399, -87.68605047)"
9985418,HY175099,3/6/2015 23:40,015XX N WELLS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,3210,FALSE,FALSE,1821,18,43,8,11,1174460,1910637,2015,ERROR,41.91018741,-87.63453378,"(41.910187414, -87.634533777)"
5212650,HM793429,12/24/2006 11:45,041XX W VAN BUREN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1567,FALSE,FALSE,1132,11,24,26,14,1148616,1897735,2006,2/1/2007 6:08,41.87532147,-87.72980819,"(41.875321473, -87.729808188)"
10002890,HY192231,3/20/2015 16:27,033XX W 60TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,509,FALSE,FALSE,822,8,16,66,26,1154876,1864671,2015,ERROR,41.78446661,-87.70770788,"(41.784466611, -87.70770788)"
6237879,HP323989,5/8/2008 10:35,053XX S WESTERN BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),2025,FALSE,FALSE,915,9,16,63,7,1161471,1869210,2008,11/5/2008 13:01,41.796788,-87.683402,"(41.796788001, -87.683402001)"
9198183,HW343691,7/1/2013 12:30,078XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1113,FALSE,FALSE,612,6,17,71,14,1167515,1852777,2013,2/7/2013 8:31,41.75156622,-87.6617086,"(41.751566217, -87.661708602)"
9914993,HY104705,1/5/2015 5:00,045XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,APARTMENT,127,FALSE,FALSE,221,2,4,39,6,1182916,1875077,2015,12/1/2015 12:48,41.81241568,-87.60457907,"(41.812415676, -87.604579073)"
5812687,HN606869,6/14/2007 15:00,056XX S DORCHESTER AVE,890,THEFT,FROM BUILDING,GAS STATION,2970,FALSE,FALSE,2133,2,5,41,6,1186553,1867773,2007,10/10/2007 1:49,41.79228756,-87.59146999,"(41.792287561, -87.591469992)"
1758189,G568662,9/22/2001 11:17,031XX W 26 ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,PARKING LOT/GARAGE(NON.RESID.),992,TRUE,FALSE,1033,NA,NA,NA,26,1156100,1886534,2001,ERROR,41.84443702,-87.70263184,"(41.844437017, -87.70263184)"
6402809,HP474280,7/23/2008 16:00,089XX S YATES BLVD,842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,1990,FALSE,FALSE,413,4,7,48,6,1193691,1845865,2008,8/8/2008 18:07,41.73199835,-87.56601311,"(41.731998345, -87.566013112)"
5475427,HN298043,4/22/2007 8:35,053XX S KEDZIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,1380,TRUE,FALSE,911,9,14,63,16,1155993,1869052,2007,ERROR,41.79646632,-87.7034948,"(41.796466324, -87.703494798)"
1523992,G255343,5/4/2001 9:55,056XX S ROCKWELL ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",3922,TRUE,FALSE,824,NA,NA,NA,15,1159962,1867094,2001,ERROR,41.79101259,-87.68899385,"(41.791012589, -87.688993852)"
2921705,HJ600586,9/1/2003 1:00,023XX N KARLOV AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,3929,FALSE,TRUE,2525,25,31,20,08B,1148703,1915194,2003,ERROR,41.9232291,-87.72903723,"(41.923229102, -87.729037228)"
1854395,G695770,11/19/2001 10:10,066XX S PULASKI RD,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,3532,FALSE,FALSE,833,NA,NA,NA,6,1150890,1860070,2001,4/12/2014 12:43,41.7719194,-87.72244217,"(41.771919396, -87.722442165)"
1908796,G765379,12/23/2001 4:20,055XX W VAN BUREN ST,460,BATTERY,SIMPLE,RESIDENCE,1688,FALSE,FALSE,1522,NA,NA,NA,08B,1139450,1897421,2001,ERROR,41.87463175,-87.76347025,"(41.874631745, -87.763470245)"
8164922,HT399379,7/15/2011 23:40,076XX S CICERO AVE,560,ASSAULT,SIMPLE,STREET,1389,FALSE,FALSE,833,8,13,65,08A,1145766,1853738,2011,ERROR,41.75464162,-87.74138516,"(41.75464162, -87.741385158)"
3254937,HK279665,4/3/2004 10:00,065XX N BOSWORTH AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,3491,FALSE,FALSE,2432,24,40,1,5,1164802,1943333,2004,ERROR,42.00011715,-87.66908229,"(42.000117152, -87.669082287)"
5390304,HN233940,3/18/2007 19:50,006XX N ALBANY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,1362,FALSE,TRUE,1313,12,27,23,08B,1155550,1904304,2007,ERROR,41.89321084,-87.7041723,"(41.893210839, -87.704172295)"
8413638,HT647149,12/25/2011 17:30,069XX S CAMPBELL AVE,330,ROBBERY,AGGRAVATED,SIDEWALK,1377,FALSE,FALSE,832,8,15,66,3,1160874,1858299,2011,ERROR,41.76685908,-87.68589254,"(41.766859084, -87.685892542)"
9527581,HX181802,3/12/2014 12:15,054XX S WINCHESTER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1147,FALSE,TRUE,932,9,16,61,08B,1164316,1868765,2014,ERROR,41.79550737,-87.67298159,"(41.795507366, -87.672981591)"
5133690,HM731231,11/20/2006 14:00,073XX N HARLEM AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,2303,FALSE,FALSE,1611,16,41,9,26,1127349,1948389,2006,ERROR,42.01470587,-87.80675116,"(42.014705871, -87.806751157)"
1995039,HH153002,1/28/2002 7:00,074XX N DAMEN AV,460,BATTERY,SIMPLE,RESIDENCE,794,FALSE,TRUE,2424,NA,NA,NA,08B,1161699,1949553,2002,ERROR,42.01725048,-87.68032297,"(42.01725048, -87.680322966)"
4296516,HL531043,8/5/2005 23:09,006XX N CENTRAL PARK AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,2630,TRUE,FALSE,1122,11,27,23,18,1152231,1903962,2005,ERROR,41.89233849,-87.71637086,"(41.892338494, -87.716370862)"
5458813,HN287100,4/16/2007 17:45,051XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),4687,TRUE,TRUE,932,9,16,61,08B,1166579,1870797,2007,ERROR,41.80103541,-87.66462512,"(41.801035411, -87.66462512)"
1556046,G312776,5/30/2001 16:45,014XX E 69 ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,1587,FALSE,FALSE,332,NA,NA,NA,14,1187298,1859575,2001,ERROR,41.76977391,-87.58899844,"(41.769773909, -87.588998442)"
6713807,HR129777,1/19/2009 21:00,020XX N MOZART ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,4049,FALSE,FALSE,1414,14,35,22,14,1157024,1913723,2009,ERROR,41.91902759,-87.69850281,"(41.919027585, -87.698502808)"
1940740,HH119927,1/11/2002 12:00,047XX S UNION AV,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",3229,TRUE,FALSE,935,NA,NA,NA,08B,1172475,1873203,2002,ERROR,41.80750982,-87.64293162,"(41.807509816, -87.642931616)"
3362955,HK409648,6/4/2004 17:00,055XX W QUINCY ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,3449,FALSE,FALSE,1522,15,29,25,04A,1139492,1898492,2004,ERROR,41.87756995,-87.76328992,"(41.877569945, -87.763289921)"
1892993,G744161,12/12/2001 11:40,077XX W HOWARD ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,2824,FALSE,FALSE,1611,NA,NA,NA,6,1123943,1949779,2001,ERROR,42.01857697,-87.8192535,"(42.018576967, -87.819253498)"
4987543,HM599912,9/13/2006 23:41,032XX S LITUANICA AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARKING LOT/GARAGE(NON.RESID.),2748,TRUE,FALSE,924,9,11,60,14,1170787,1883697,2006,ERROR,41.83634342,-87.64881607,"(41.836343419, -87.648816066)"
8978243,HW122178,1/4/2013 11:00,017XX N LOTUS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,2463,FALSE,FALSE,2532,25,37,25,26,1139764,1910834,2013,12/2/2013 12:25,41.91143294,-87.76198943,"(41.91143294, -87.761989425)"
9287934,HW432629,9/1/2013 3:30,023XX S HOMAN AVE,460,BATTERY,SIMPLE,SIDEWALK,2341,FALSE,FALSE,1024,10,22,30,08B,1154021,1888439,2013,2/9/2013 12:27,41.84970621,-87.71021075,"(41.849706206, -87.710210751)"
3601383,HK694936,9/18/2004 0:00,002XX N KILBOURN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,3628,FALSE,FALSE,1113,11,28,26,11,1146400,1900624,2004,ERROR,41.8832917,-87.73787096,"(41.883291699, -87.737870956)"
7719567,HS527233,9/21/2010 20:50,051XX W WELLINGTON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,3751,FALSE,TRUE,2521,25,31,19,26,1141674,1919503,2010,11/10/2010 15:54,41.93518646,-87.75475773,"(41.935186459, -87.754757729)"
6550412,HP624139,10/13/2008 0:00,052XX S MARSHFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,2524,TRUE,FALSE,932,9,16,61,15,1166269,1870015,2008,ERROR,41.79889612,-87.66578427,"(41.798896123, -87.66578427)"
2902949,HJ579061,7/16/2003 15:58,046XX W 55TH ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,4441,TRUE,FALSE,813,8,23,56,11,1146337,1867704,2003,ERROR,41.79295588,-87.73893884,"(41.792955883, -87.738938839)"
3505136,HK581743,8/25/2004 18:04,071XX W 64TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,4733,FALSE,FALSE,812,8,23,64,26,1129743,1860965,2004,ERROR,41.77476149,-87.79994184,"(41.774761494, -87.799941841)"
8081212,HT310002,5/23/2011 11:30,046XX N SHERIDAN RD,460,BATTERY,SIMPLE,SIDEWALK,3485,FALSE,FALSE,2312,19,46,3,08B,1168819,1931361,2011,ERROR,41.96717924,-87.65465371,"(41.967179243, -87.654653712)"
1652291,G430211,7/22/2001 12:15,012XX N PARKSIDE AV,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,STREET,1369,TRUE,FALSE,2531,NA,NA,NA,22,1138416,1907506,2001,ERROR,41.90232505,-87.76702233,"(41.902325047, -87.767022333)"
7784284,HS576050,10/21/2010 19:27,008XX E 89TH ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,4100,TRUE,FALSE,632,6,8,44,18,1183562,1846188,2010,10/11/2010 15:04,41.7331265,-87.60310929,"(41.733126496, -87.603109289)"
4392495,HL685535,10/18/2005 7:00,008XX N LATROBE AVE,810,THEFT,OVER $500,STREET,4453,FALSE,FALSE,1524,15,37,25,6,1141162,1905112,2005,4/12/2014 12:43,41.89570544,-87.75699478,"(41.895705443, -87.756994782)"
8322510,HT548001,10/17/2011 17:30,067XX S CLYDE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,4763,FALSE,FALSE,331,3,5,43,26,1191419,1860438,2011,ERROR,41.77204319,-87.57386498,"(41.772043187, -87.573864982)"
5784220,HN581658,6/8/2007 23:40,003XX S WASHTENAW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,2376,FALSE,TRUE,1125,11,2,27,08B,1158395,1898272,2007,ERROR,41.87660075,-87.6938887,"(41.876600753, -87.693888703)"
1473650,G192572,4/5/2001 10:10,028XX W ARTHINGTON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,1925,TRUE,FALSE,1135,NA,NA,NA,18,1157618,1895874,2001,ERROR,41.87003625,-87.6968069,"(41.870036252, -87.6968069)"
7157534,HR565848,10/1/2009 15:40,079XX S DAMEN AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,531,FALSE,FALSE,611,6,18,71,3,1164362,1852231,2009,10/10/2009 16:21,41.75013487,-87.67327824,"(41.750134873, -87.673278237)"
3712271,HK684159,10/13/2004 13:15,072XX S SOUTH CHICAGO AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,RESIDENCE-GARAGE,824,FALSE,FALSE,323,3,5,69,26,1183382,1857501,2004,11/6/2007 15:52,41.76417475,-87.60341713,"(41.764174754, -87.603417126)"
1741181,G550640,9/12/2001 14:00,021XX W RANDOLPH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,4543,FALSE,TRUE,1332,NA,NA,NA,20,1162226,1901155,2001,ERROR,41.88443277,-87.67974188,"(41.884432772, -87.679741878)"
