ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5654829,HN465341,7/14/2007 1:00,053XX S WABASH AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,1188,FALSE,FALSE,232,2,3,40,7,1177577,1869771,2007,ERROR,41.7979781,-87.62432288,"(41.7979781, -87.624322882)"
7897069,HT126881,1/19/2011 20:50,016XX N KIMBALL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,3699,TRUE,FALSE,1422,14,26,23,18,1153494,1910674,2011,ERROR,41.91073184,-87.7115537,"(41.910731836, -87.7115537)"
6053794,HP155338,2/2/2008 2:15,002XX N ASHLAND AVE,560,ASSAULT,SIMPLE,TAVERN/LIQUOR STORE,4130,FALSE,FALSE,1333,12,27,28,08A,1165726,1901925,2008,7/2/2008 6:38,41.88647184,-87.6668675,"(41.886471844, -87.666867499)"
5565328,HN356933,5/21/2007 21:30,070XX S JEFFERY BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,4147,TRUE,FALSE,331,3,5,43,18,1190805,1858575,2007,ERROR,41.76694583,-87.5761758,"(41.766945825, -87.576175796)"
3248772,HK265125,3/27/2004 2:54,0000X W DIVISION ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,4310,TRUE,FALSE,1824,18,42,8,24,1175892,1908408,2004,4/12/2014 12:43,41.9040388,-87.62934044,"(41.904038802, -87.629340436)"
1757877,G572420,9/24/2001 1:00,009XX N HARDING AV,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,797,FALSE,FALSE,1112,NA,NA,NA,7,1149924,1905981,2001,ERROR,41.89792405,-87.72479098,"(41.897924046, -87.72479098)"
2774357,HJ418762,6/9/2003 22:26,017XX N TALMAN AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,826,FALSE,FALSE,1421,NA,1,24,3,1158398,1911205,2003,ERROR,41.91208998,-87.69352358,"(41.912089977, -87.693523584)"
8926173,HV598195,12/11/2012 15:00,001XX N KEDZIE AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,4028,TRUE,FALSE,1331,12,27,27,26,1155069,1900663,2012,11/12/2012 15:22,41.88322925,-87.70603659,"(41.883229246, -87.706036593)"
5741562,HN545599,8/23/2007 11:06,056XX W CORCORAN PL,560,ASSAULT,SIMPLE,GROCERY FOOD STORE,2009,TRUE,FALSE,1512,15,29,25,08A,1138929,1901964,2007,ERROR,41.88710781,-87.76527276,"(41.887107805, -87.765272755)"
7388091,HS188642,3/2/2010 16:00,059XX W AUGUSTA BLVD,460,BATTERY,SIMPLE,SIDEWALK,4552,FALSE,FALSE,1511,15,29,25,08B,1136861,1906101,2010,4/3/2010 11:52,41.89849758,-87.7727679,"(41.898497579, -87.772767903)"
4148394,HL472015,7/9/2005 3:00,004XX W 98TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,1031,FALSE,TRUE,2223,22,21,73,08B,1174873,1839956,2005,ERROR,41.71622293,-87.63512623,"(41.716222926, -87.635126228)"
7111964,HR520191,9/4/2009 19:15,040XX W LAKE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,1207,TRUE,FALSE,1114,11,28,26,18,1149614,1901481,2009,4/9/2009 20:50,41.8855816,-87.72604657,"(41.885581599, -87.726046569)"
